=== SYSTEM STATUS ===;;;;;;;
System Mode: OPEN LOOP;;;;;;;
Sensor Mode: NORMAL;;;;;;;
Manual MI: 1.000;;;;;;;
Manual Duty Cycle: 0.700;;;;;;;
POD PWM Debug: DISABLED;;;;;;;
MLBC Debug: DISABLED;;;;;;;
MLBC: STOPPED;MANUAL;Target:0.00%;Actual:0.00%;Vin:0.0V;Vout:0.0V;Iin:0.0A;Faults:0x00
====================;;;;;;;
;;;;;;;
AC Sensor initialized;;;;;;;
Configuration: 200 samples per cycle; 5 cycles per measurement;;;;;;
Total buffer size: 2000 samples (1000V + 1000I);;;;;;;
Sampling rate: 10.0 kHz (TIM3 shared with POD PWM);;;;;;;
AC Sensor started - DMA acquisition active (triggered by TIM3 at 10.0kHz);;;;;;;
DC Sensor initialized;;;;;;;
Voltage range: 0-28.0V; Current range: 0-25.0A;;;;;;
Protection thresholds: V>29.0V; I>25.0A;;;;;;
DC Sensor started - Continuous ADC acquisition active;;;;;;;
System Initialization Complete;;;;;;;
Start/Stop button pressed! Switching to: RUNNING;;;;;;;
Starting entire system...;;;;;;;
POD_PWM_Enable called with: 1 (was: 0);;;;;;;
POD PWM enabled;;;;;;;
System started successfully;;;;;;;
=== CALIBRATION MODE ACTIVATED ===;;;;;;;
Waiting for complete buffer (2000 samples over 100ms)...;;;;;;;
AC Sensor mode changed: NORMAL → CALIBRATION;;;;;;;
681;2010;1748;;;;;
682;2014;1736;;;;;
683;1995;1723;;;;;
684;1981;1714;;;;;
685;1954;1678;;;;;
686;1883;1714;;;;;
687;1817;1699;;;;;
688;1766;1702;;;;;
689;1753;1680;;;;;
690;1751;1650;;;;;
691;1753;1379;;;;;
692;1739;1400;;;;;
693;1703;1433;;;;;
694;1655;1461;;;;;
695;1621;1476;;;;;
696;1595;1476;;;;;
697;1567;1458;;;;;
698;1556;1444;;;;;
699;1525;1445;;;;;
700;1495;1441;;;;;
701;1471;1430;;;;;
702;1439;1406;;;;;
703;1411;1390;;;;;
704;1387;1373;;;;;
705;1367;1369;;;;;
706;1335;1339;;;;;
707;1317;1334;;;;;
708;1287;1309;;;;;
709;1260;1314;;;;;
710;1235;1312;;;;;
711;1207;1293;;;;;
712;1182;1266;;;;;
713;1162;1245;;;;;
714;1135;1237;;;;;
715;1119;1229;;;;;
716;1120;1199;;;;;
717;1102;1191;;;;;
718;1105;1180;;;;;
719;1085;1160;;;;;
720;1069;1148;;;;;
721;1022;1191;;;;;
722;979;1172;;;;;
723;955;1136;;;;;
724;957;1102;;;;;
725;951;1085;;;;;
726;931;1070;;;;;
727;907;1060;;;;;
728;885;1066;;;;;
729;868;1052;;;;;
730;863;1033;;;;;
731;850;990;;;;;
732;830;935;;;;;
733;825;892;;;;;
734;807;856;;;;;
735;799;833;;;;;
736;784;805;;;;;
737;777;804;;;;;
738;769;781;;;;;
739;757;790;;;;;
740;751;794;;;;;
741;740;805;;;;;
742;739;805;;;;;
743;731;816;;;;;
744;729;818;;;;;
745;723;816;;;;;
746;724;819;;;;;
747;721;817;;;;;
748;717;832;;;;;
749;718;838;;;;;
750;712;844;;;;;
751;714;852;;;;;
752;710;862;;;;;
753;707;852;;;;;
754;715;863;;;;;
755;739;870;;;;;
756;767;887;;;;;
757;757;892;;;;;
758;767;908;;;;;
759;785;886;;;;;
760;809;863;;;;;
761;835;867;;;;;
762;844;870;;;;;
763;858;876;;;;;
764;862;890;;;;;
765;861;902;;;;;
766;885;916;;;;;
767;900;896;;;;;
768;920;891;;;;;
